"","V1","V2","V3","V4","score","label","id"
"1052",-3.7747,2.5162,0.83341,-0.30993,1,"TRAIN","P_1052"
"884",-3.3604,-0.32696,2.1324,0.6017,1,"TRAIN","P_884"
"891",-1.6637,3.2881,-2.2701,-2.2224,1,"TRAIN","P_891"
"1287",-6.4247,9.5311,0.022844,-6.8517,1,"TRAIN","P_1287"
"963",-1.8076,-8.8131,8.7086,-0.21682,1,"TRAIN","P_963"
"767",-3.5681,-8.213,10.083,0.96765,1,"TRAIN","P_767"
"857",0.24261,0.57318,-1.9402,0.44007,1,"TRAIN","P_857"
"1013",-2.2677,3.2964,-2.2563,-2.4642,1,"TRAIN","P_1013"
"1254",-4.5531,-12.5854,15.4417,-1.4983,1,"TRAIN","P_1254"
"1311",-3.3458,-0.50491,2.6328,0.53705,1,"TRAIN","P_1311"
"1058",-2.0441,1.2271,0.18564,-1.091,1,"TRAIN","P_1058"
"773",-2.4115,-9.1359,9.3444,-0.65259,1,"TRAIN","P_773"
"1236",-3.5359,0.30417,0.6569,-0.2957,1,"TRAIN","P_1236"
"1154",-2.7611,-10.5099,9.0239,-1.9547,1,"TRAIN","P_1154"
"791",1.1644,3.8095,-4.9408,-4.0909,1,"TRAIN","P_791"
"894",-0.77288,-7.4473,6.492,0.36119,1,"TRAIN","P_894"
"880",-0.56877,1.4174,-1.4252,-1.1246,1,"TRAIN","P_880"
"886",0.030219,-1.0512,1.4024,0.77369,1,"TRAIN","P_886"
"1016",-0.90784,-7.9026,6.7807,0.34179,1,"TRAIN","P_1016"
"1302",-3.7244,1.9037,-0.035421,-2.5095,1,"TRAIN","P_1302"
"247",1.6472,0.48213,4.7449,1.225,0,"TRAIN","P_247"
"163",0.17346,7.8695,0.26876,-3.7883,0,"TRAIN","P_163"
"384",3.8117,10.1457,-4.0463,-4.5629,0,"TRAIN","P_384"
"598",5.6084,10.3009,-4.8003,-4.3534,0,"TRAIN","P_598"
"88",0.87603,6.8141,0.84198,-0.17156,0,"TRAIN","P_88"
"622",3.3951,1.1484,2.1401,2.0862,0,"TRAIN","P_622"
"636",1.8967,-2.5163,2.8093,-0.79742,0,"TRAIN","P_636"
"205",0.83292,7.5404,0.65005,-0.92544,0,"TRAIN","P_205"
"293",4.1349,6.1189,-2.4294,-0.19613,0,"TRAIN","P_293"
"327",-0.16108,-6.4624,8.3573,-1.5216,0,"TRAIN","P_327"
"319",1.5799,-4.7076,7.9186,-1.5487,0,"TRAIN","P_319"
"403",1.9647,6.9383,0.57722,0.66377,0,"TRAIN","P_403"
"145",3.8481,10.1539,-3.8561,-4.2228,0,"TRAIN","P_145"
"542",3.6667,4.302,0.55923,0.33791,0,"TRAIN","P_542"
"217",1.3234,3.2964,0.2362,-0.11984,0,"TRAIN","P_217"
"572",2.2517,-5.1422,4.2916,-1.2487,0,"TRAIN","P_572"
"347",4.0972,0.46972,1.6671,0.91593,0,"TRAIN","P_347"
"571",3.9382,0.9291,0.78543,0.6767,0,"TRAIN","P_571"
"723",4.8451,8.1116,-2.9512,-1.4724,0,"TRAIN","P_723"
"488",3.4776,8.811,-3.1886,-0.92285,0,"TRAIN","P_488"
"1267",-1.4377,-1.432,2.1144,0.42067,1,"TEST","P_1267"
"806",-3.6085,3.3253,-0.51954,-3.5737,1,"TEST","P_806"
"987",0.84546,3.4826,-3.6307,-1.3961,1,"TEST","P_987"
"1307",-1.2244,1.7485,-1.4801,-1.4181,1,"TEST","P_1307"
"780",-1.8187,-9.0366,9.0162,-0.12243,1,"TEST","P_780"
"1345",1.3451,0.23589,-1.8785,1.3258,1,"TEST","P_1345"
"1172",-3.8552,3.5219,-0.38415,-3.8608,1,"TEST","P_1172"
"1027",0.11806,0.39108,-0.98223,0.42843,1,"TEST","P_1027"
"1260",-1.8387,-6.301,5.6506,0.19567,1,"TEST","P_1260"
"931",-2.2214,-0.23798,0.56008,0.05602,1,"TEST","P_931"
"1138",-1.5877,-6.6072,5.8022,0.31593,1,"TEST","P_1138"
"1228",-2.564,-1.7051,1.5026,0.32757,1,"TEST","P_1228"
"1280",-5.3012,7.3915,0.029699,-7.3987,1,"TEST","P_1280"
"907",-2.9146,4.0537,-0.45699,-4.0327,1,"TEST","P_907"
"1297",-3.5933,0.22968,0.7126,-0.3332,1,"TEST","P_1297"
"1121",-3.1875,-7.5756,11.8678,-0.57889,1,"TEST","P_1121"
"1014",-0.50816,2.868,-1.8108,-2.2612,1,"TEST","P_1014"
"878",-5.1216,-5.3118,10.3846,-1.0612,1,"TEST","P_878"
"1026",-1.1022,-5.8395,4.5641,0.68705,1,"TEST","P_1026"
"854",-3.1366,0.42212,2.6225,-0.064238,1,"TEST","P_854"
"584",2.3678,-6.839,8.4207,-0.44829,0,"TEST","P_584"
"644",0.38251,6.8121,1.8128,-0.61251,0,"TEST","P_644"
"670",4.3634,0.46351,1.4281,2.0202,0,"TEST","P_670"
"715",2.5559,3.3605,2.0321,0.26809,0,"TEST","P_715"
"356",-0.21661,8.0329,1.8848,-3.8853,0,"TEST","P_356"
"129",4.6689,1.3098,0.055404,1.909,0,"TEST","P_129"
"400",2.9695,5.6222,0.27561,-1.1556,0,"TEST","P_400"
"754",3.1541,-5.1711,6.5991,0.57455,0,"TEST","P_754"
"253",0.5734,9.1938,-0.9094,-1.872,0,"TEST","P_253"
"24",0.93584,8.8855,-1.6831,-1.6599,0,"TEST","P_24"
"632",1.8994,0.97462,4.2265,0.81377,0,"TEST","P_632"
"22",0.3292,-4.4552,4.5718,-0.9888,0,"TEST","P_22"
"317",5.7353,5.2808,-2.2598,0.075416,0,"TEST","P_317"
"563",-2.4604,12.7302,0.91738,-7.6418,0,"TEST","P_563"
"336",3.4667,-4.0724,4.2882,1.5418,0,"TEST","P_336"
"512",3.9433,2.5017,1.5215,0.903,0,"TEST","P_512"
"529",3.6244,1.4609,1.3501,1.9284,0,"TEST","P_529"
"211",4.2899,9.1814,-4.6067,-4.3263,0,"TEST","P_211"
"479",-1.7781,0.8546,7.1303,0.027572,0,"TEST","P_479"
"377",3.2303,7.8384,-3.5348,-1.2151,0,"TEST","P_377"
